,Data,User,Pesan,Saham,Jam,Tanggal
0,1,M Rodi,"Membalas : Sama. Dlu mau ikut BBKP di the westin cm syarat hrs swab dlu malah jd bayar mahal
malah katanya asii tahun lalu dapet tws (true wireless) kang.  
","ASII,BBKP",11:51:19 PM,Monday April 19 2021
1,2,Johny,ada yang ikut tender offering BBHI?,BBHI,11:44:38 PM,Monday April 19 2021
2,3,Charles Prop,"Membalas : pengen sekali kali ikut rups, biar tau kayak gmn rups  
Sama. Dlu mau ikut BBKP di the westin cm syarat hrs swab dlu malah jd bayar mahal",BBKP,10:41:56 PM,Monday April 19 2021
3,4,Adam,"Membalas : klo ada yg mau hadir di RUPS DMAS saya ikut dah biar ga sendirian dan garing
pengen sekali kali ikut rups, biar tau kayak gmn rups  ",DMAS,10:41:20 PM,Monday April 19 2021
4,5,Nanang Eko,"Membalas : klo ada yg mau hadir di RUPS DMAS saya ikut dah biar ga sendirian dan garing
Kopdar anggota TT di rups dmas ",DMAS,10:40:08 PM,Monday April 19 2021
5,6,Charles Prop,klo ada yg mau hadir di RUPS DMAS saya ikut dah biar ga sendirian dan garing ,DMAS,10:29:39 PM,Monday April 19 2021
6,7,Charles Prop,"Membalas : The problem with milenials yg melek teknologi, kecenderungan nya ga setia om wkwk.. Karena punya akses yg lebih cepat dan terbuk
betul banget. dikasi diskon 5000 juga uda pindah. padahal kadang2 murah itu ga menjamin kenyamanan. bca memang boleh capek antri. tapi kalau kenapa2 customer servicenya sigap sekali. bank digital? cobain saja kalau ada masalah sama jenius, ngadu ke btpn pun jg nda bakal diurus, mau maki2 staf jenius yg dimall jg kasian, mereka cuma sales. (pengalaman dulu kirim uang ditilep sejuta nga ada yg mau ngaku baik dari pengirim, mau pun dari pihak bank)
Membalas : Photo
ikut RUPS gini masih harus swab ga ya untuk hadir? males banget nih mau hadir dicolok2 hidung","BANK,BTPN,UANG",10:17:35 PM,Monday April 19 2021
7,8,Marson,"Membalas : Kena biaya 10rb/bulan yg katanya bukan biaya admin tp mirip biaya admin om?
Bilangnya utk biaya pengembangan, krn jenius sendiri ada tool kit app utk bisnis..dan rek. Jenius jg bisa di split dari rek perorangan ke rek bisnis, jadi keuangan kita ga nyampur.
Membalas : Bank digital seram. Jenius dulu byk yg bisa kehack. Bca tetap mah. Walaupun biaya adminnya mahalll. Malah yg konvensional dgn to
Skrg utk keamanannya ada beberapa step selain pin ada pasword juga. Selama otp tidak di umbar termasuk ke pihak jenius sekalipun harusnya aman om.  ","AMAN,BANK",9:54:20 PM,Monday April 19 2021
8,9,re,"Membalas : Gojek Co-CEO to Head App Giant After Merger With Tokopedia [""https://www.bloomberg.com/news/articles/2021-04-19/gojek-co-ceo-to
This is it, inilah saham ya pak wkwkwk walaupun lknya mau sejelek apapun kalo ada narasi turn around bakal mantap . Here we go bank digital ceritanya masih panjang   ",BANK,9:48:23 PM,Monday April 19 2021
9,10,Hendra Choo,"ERAA udh out semua, skrg nungguin DMAS. moga gerak dlm waktu dekat.   .
RUPS bulan dpn.
Ini adalah foto","DMAS,ERAA",9:15:50 PM,Monday April 19 2021
10,11,Ricky,Bank digital seram. Jenius dulu byk yg bisa kehack. Bca tetap mah. Walaupun biaya adminnya mahalll. Malah yg konvensional dgn tokennya yg aman utk transaksi gede.,"AMAN,BANK",8:26:39 PM,Monday April 19 2021
11,12,Dessy Fang,"Membalas : Iya bener setuju pak jadi ya buat bank digital yang kecil kecil susah buat gerak kalau di market real arto bisa gerak karena ada
Pak     ","ARTO,BANK,REAL",8:24:02 PM,Monday April 19 2021
12,13,nathan,"Membalas : True. Plusss tergiur krn promo   at the end, kepercayaan nasabah krn service quality ttp no 1 Anw livin' mandiri uda ada QRIS,
Iya bener setuju pak jadi ya buat bank digital yang kecil kecil susah buat gerak kalau di market real arto bisa gerak karena ada ekosistem nya Gojek kalau udah gk ada promo ya top up kalau mau make aja,tapi bukanya mau ipo karena udah cape suntik dana ya ","ARTO,BANK,REAL",8:22:46 PM,Monday April 19 2021
13,14,Jay Jay,"Membalas : dpk ttp penghasilan yg gede buat bank, tp mereka kehilangan fee per transaksi. aku juga sih, gopay tuh emang paling the best yaa
Gopay dan bank, 2 hal berbeda. Diatur sama bi. Menurut saya jenius bs sukses, saat itu msh dipandang sebelah mata. Skrg sudah pada concern. Apa bank jago masih bertaji. Menarik dinanti","BANK,BEST",8:05:44 PM,Monday April 19 2021
14,15,Vesilia Vebiola Vesi,"Membalas : Ntr arto akuisisi TINDER 
   ",ARTO,7:58:43 PM,Monday April 19 2021
15,16,Meneer Greg,"Membalas : Ntr arto akuisisi TINDER 
  

GoTind",ARTO,7:58:07 PM,Monday April 19 2021
16,17,Billy,"Membalas : + layanan cari jodoh?  
Ntr arto akuisisi TINDER ",ARTO,7:57:37 PM,Monday April 19 2021
17,18,nathan,Bbca bank himbara belum ada lawan mereka diem aja kasih kesempatan yang kecil kecil gerak nanti kalau mereka gerak bank digital yang kecil kecil terus yang kata nya gede kaya arto kalah juga ya ,"ARTO,BANK,BBCA",7:57:26 PM,Monday April 19 2021
18,19,Meneer Greg,"Membalas : dpk ttp penghasilan yg gede buat bank, tp mereka kehilangan fee per transaksi. aku juga sih, gopay tuh emang paling the best yaa
+ layanan cari jodoh?  ","BANK,BEST",7:53:51 PM,Monday April 19 2021
19,20,Adam,"Membalas : Uang gede tetap di BCA, ARTO hanya secukupnya buat bayar2 saja gak?
dpk ttp penghasilan yg gede buat bank, tp mereka kehilangan fee per transaksi.
aku juga sih, gopay tuh emang paling the best yaa. apa aja ada, sampe ada go trade. kalo sampe gojek ada layanan ambilin uang cash di atm itu makin komplit  ","ARTO,BANK,BEST,CASH,UANG",7:52:26 PM,Monday April 19 2021
20,21,Denny,"Membalas : Uang gede tetap di BCA, ARTO hanya secukupnya buat bayar2 saja gak?
Stuju om, kalo saya pribadi punya bbrp 

Bukan arto sih, jenius

Fiturnya emang menarik

Tapi uda ke hack brp x virtual cc nya , jadi skeptis sama teknologi baru

Menarik, tp secara keamanan masih perlu banyak pembuktian

So dana utama ttep di tmpt yg bner  bs di percaya","ARTO,UANG",7:51:26 PM,Monday April 19 2021
21,22,Baggers Lover,"Uang gede tetap di BCA, ARTO hanya secukupnya buat bayar2 saja gak?
Kita gajian tetap via BCA dll... barusan transfer ke gojek dll secukupnya saja","ARTO,UANG",7:49:19 PM,Monday April 19 2021
22,23,Adam,"Membalas : Problem dari dinosaurs, sulit adaptasi terhadap disruption
kebentur sama serikat pekerjanya juga om, terlanjur khawatir phk besar besaran. mereka bukan ga punya resource menurutku, tapi dengan resource yg dia punya dia malah ga bisa bergerak bebas
Membalas : Tapi mesin setor tunai BCA berguna banget.
bangeeet, dan dia bank pertama yg punya itu. tp inovasinya berhenti disitu aja. padahal investasi di mesin lebih mahal ketimbang aplikasi, imho yaaa monggo koreksi kalo saya salah hehehe
Membalas : Kemungkinan akan ada kejutan di BCA Digitalnya nanti
i wish, masih pake token utk klikbca itu jadul bgt menurutku. harusnya mereka bisa combine klikbca sama bca mobile. bank jago itu keren, setahun yg lalu ga ada yg mikir akan ada bank digital yg sebesar itu dan skrg taraaaa here they are",BANK,7:45:33 PM,Monday April 19 2021
23,24,Baggers Lover,"Membalas : kalo ini mungkin bgt sih, setelah dia nyaplok bank kecil kmrn itu. padahal dulu mereka menggadang gadangkan digitalisasi, tp isi
Kemungkinan akan ada kejutan di BCA Digitalnya nanti",BANK,7:45:12 PM,Monday April 19 2021
24,25,Lida,"Membalas : setuju banget ko, bbca itu bbrp teller sama cso yg pensiun 35 tahun udh mulai di tarik ke relation officer. tujuannya maintain n
Tapi mesin setor tunai BCA berguna banget.",BBCA,7:45:09 PM,Monday April 19 2021
25,26,Adam,"Membalas : Kalau dengar zoom pressir BBCA, mereka memang mau memisahkan antara BCA saat ini dg BCA Digitalnya...
kalo ini mungkin bgt sih, setelah dia nyaplok bank kecil kmrn itu. padahal dulu mereka menggadang gadangkan digitalisasi, tp isi flazz via bca mobile aja baru bisa skrg skrg ini  ","BANK,BBCA",7:44:19 PM,Monday April 19 2021
26,27,Benhan,"Membalas : setuju banget ko, bbca itu bbrp teller sama cso yg pensiun 35 tahun udh mulai di tarik ke relation officer. tujuannya maintain n
Problem dari dinosaurs, sulit adaptasi terhadap disruption",BBCA,7:44:15 PM,Monday April 19 2021
27,28,Baggers Lover,"Membalas : setuju banget ko, bbca itu bbrp teller sama cso yg pensiun 35 tahun udh mulai di tarik ke relation officer. tujuannya maintain n
Kalau dengar zoom pressir BBCA, mereka memang mau memisahkan antara BCA saat ini dg BCA Digitalnya...",BBCA,7:43:11 PM,Monday April 19 2021
