,Data,User,Pesan,Saham,Jam,Tanggal
0,1,Frendi cari-ara,"Membalas : Mind id dan mitratel pokoknya siap terima uang saya pas ipo ya wkwk
Se7 bro. 2 of the most anticipated IPOs buat SOE",UANG,9:23:18 PM,Thursday April 29 2021
1,2,Jose - Aliran - YPC,"Membalas : Bbrp bulan yll, yg ""dijual"" nama Tesla, sekarang Gojek Shopee  
jgn lupa, nama om ET juga masih laku dijual lho, ABBA dan MARI","ABBA,MARI",9:02:51 PM,Thursday April 29 2021
2,3,Vixnt,"Membalas : shopee gojek emtk.. komisaris nya 1 org yg sama   
Pak Pandu",EMTK,8:58:11 PM,Thursday April 29 2021
3,4,GuspriGo,"Membalas : Mind id dan mitratel pokoknya siap terima uang saya pas ipo ya wkwk
mantapp",UANG,8:48:31 PM,Thursday April 29 2021
4,5,Bayu Anggara,Mind id dan mitratel pokoknya siap terima uang saya pas ipo ya wkwk,UANG,8:47:52 PM,Thursday April 29 2021
5,6,Kaanz',"Lama ga mantau , dulu mau masuk gara"" cari pola SSP, dulu masih di 950 an sekarang baru dipantau udah segini aja , udah suspend berapa kali ini saham?
Ini adalah foto",POLA,8:44:04 PM,Thursday April 29 2021
6,7,RBTAN59,"Membalas : Om Salim atau Om Yaury tuh Om? Klo emtk dulunya investor bukalapak kan?
bukan.. jgn di sebut dech  nti sy kena prikik  ",EMTK,8:10:45 PM,Thursday April 29 2021
7,8,Jose - Aliran - YPC,"Membalas : shopee gojek emtk.. komisaris nya 1 org yg sama   
Om Salim atau Om Yaury tuh Om? Klo emtk dulunya investor bukalapak kan?",EMTK,8:08:25 PM,Thursday April 29 2021
8,9,RBTAN59,"Membalas : https://www.cnbcindonesia.com/market/20210429155233-17-241934/bantah-bank-aladin-syariah-induk-shopee-belum-ada-diskusi Sepe
shopee gojek emtk.. komisaris nya 1 org yg sama   
","BANK,EMTK",8:03:39 PM,Thursday April 29 2021
9,10,Agus Poetradi,"Membalas : bisa geger nih kalo bener gojek tercantum di profile mppa   
ara berjilid jilid ya om",MPPA,7:56:59 PM,Thursday April 29 2021
10,11,RBTAN59,bisa geger nih kalo bener gojek tercantum di profile mppa    ,MPPA,7:39:24 PM,Thursday April 29 2021
11,12,Robin,"Membalas : Om @AigCarRental pantesan si Sultan pindah ke Bali, klo masih di Jakarta bisa dituduh babi ngepet ntar, ntar dibilang "" nongkron
Colek om sultannya dulu lah @luckv02 ...
",BALI,7:06:40 PM,Thursday April 29 2021
12,13,Jose - Aliran - YPC,"Om @AigCarRental pantesan si Sultan pindah ke Bali, klo masih di Jakarta bisa dituduh babi ngepet ntar, ntar dibilang "" nongkrong2 di rumah aja kok mobilnya 5?"" Klo di Bali kan aman, nemu babi langsung jadi bigul   pisss om    ","AMAN,BALI",7:02:19 PM,Thursday April 29 2021
13,14,"Apt, Yulianto Wijaya S Farm, RTA:registered: RSA:registered: (FRED)","Membalas : o gitu, sukses trus om  
Siapp...   ",TRUS,6:38:08 PM,Thursday April 29 2021
14,15,panjianom,"o gitu, sukses trus om  ",TRUS,6:37:27 PM,Thursday April 29 2021
15,16,Jose - Aliran - YPC,"Membalas : Photo
Kayak jam waktunya Saint Seiya waktu lawan 12 zodiac gold saint  ",GOLD,6:36:29 PM,Thursday April 29 2021
16,17,Ardi,"Membalas : Sultan - bandar, yg nyamar jd Pak Carik, hari ini aja dipamerin pnbs + Apex, ngeri tuh si Sultan, sendirian bisa gerakin saham m
Haka hu  ","APEX,PNBS",6:35:57 PM,Thursday April 29 2021
17,18,Jose - Aliran - YPC,"Membalas : Hahaha mevvah ya idupnya... inisialnya Carik ya hu?     Apa kita fw aja kemari bukti otentiknya?
Sultan - bandar, yg nyamar jd Pak Carik, hari ini aja dipamerin pnbs + Apex, ngeri tuh si Sultan, sendirian bisa gerakin saham model Apex.   Udah gitu ngeshare sp nya selalu jam 14.55, lha masak disuruh haka closingan?  ","APEX,PNBS",6:33:59 PM,Thursday April 29 2021
18,19,Robin,"Membalas : Siang2 dipamerin sama sultan yg trading sambil berjemur di pinggir kolam renang hotel mevvah Bali, di meja sampingnya ada iphone
Hahaha mevvah ya idupnya... inisialnya Carik ya hu?    
Apa kita fw aja kemari bukti otentiknya?",BALI,6:29:16 PM,Thursday April 29 2021
19,20,Jose - Aliran - YPC,"Siang2 dipamerin sama sultan yg trading sambil berjemur di pinggir kolam renang hotel mevvah Bali, di meja sampingnya ada iphone 12 max + vaio sx14nya + kelapa muda fresh... Bikin pingin Suudzon nih Om @AigCarRental. Piye jal, enake sultan bandar iki diapake biar mau bagi sp?  ",BALI,6:28:10 PM,Thursday April 29 2021
20,21,Lilis,"Membalas : PNBS beralih ke bank digital
Oowwwh begituu. . .  Terima kasih infonya kak Dimas
","BANK,PNBS",5:51:03 PM,Thursday April 29 2021
21,22,Jack Jack,"Membalas : Kasi rekom = edukasi .....    Itu di bagian Files di grup ini ada banyak sekali buku2 yang bisa dibaca, terutama TA for Mega
  
Opsi lain nonton utub dg kata kunci2 td lumayan lebih visual bwt beginner..",MEGA,5:45:22 PM,Thursday April 29 2021
22,23,Rui :rocket: :speedboat::dancer: ,"Kasi rekom = edukasi .....   

Itu di bagian Files di grup ini ada banyak sekali buku2 yang bisa dibaca, terutama TA for Mega Profit punya Edianto Ong, silakan dipelajari dulu",MEGA,5:43:34 PM,Thursday April 29 2021
23,24,Abah Leeliks,"Membalas : Newbie ya belajar baca buku. Kalo mau judi nanti malam tunggu mana tau I mimpi.
Test the water",BACA,5:24:58 PM,Thursday April 29 2021
24,25,Igo Syahputra,"Membalas : Sore om..sy newbie..trading pertama kali.. rekomendasi saham nya.. mksh
Newbie ya belajar baca buku. Kalo mau judi nanti malam tunggu mana tau I mimpi.",BACA,5:22:22 PM,Thursday April 29 2021
25,26,Jee Satya      Green_hot_wasabi,"Ini adalah foto
Emosional Quality prediction buat besok  . Kekuatan pergerakan planet di alam semesta yg berpengaruh pd emosional trading pd manusia(krn pergeseran menimbulkan frekwensi2, dan berpengaruh frekwensinya pd neurotrasmital pd otak manusia )
Note : Pelengkap Saja 

Ilmiah :

https://en.m.wikipedia.org/wiki/Schumann_resonances

https://ui.adsabs.harvard.edu/abs/2001SPIE.4317..469B/abstract

https://www.google.com/url?sa=t&source=web&rct=j&url=http://www.esalq.usp.br/lepse/imgs/conteudo_thumb/Everything-in-life-is-Vibration.pdf&ved=2ahUKEwiSxNK3oqPwAhVFU30KHQi_Bp8QFjAAegQIAxAC&usg=AOvVaw0s3iuDCaCI8URp9oWvO-Ya

https://www.kompas.com/skola/read/2020/11/25/231557269/kelistrikan-pada-sel-saraf?page=all

https://bobo.grid.id/read/08679694/otak-manusia-mampu-menghasilkan-listrik-yang-cukup-untuk-menghidupkan-bola-lampu

https://www.sehatq.com/artikel/neurotransmitter-adalah-pembawa-pesan-dalam-tubuh

https://blogs.scientificamerican.com/observations/the-hippies-were-right-its-all-about-vibrations-man/
Ini adalah foto","BOLA,LIFE",5:15:49 PM,Thursday April 29 2021
26,27,Dream Big,"Membalas : https://www.cnbcindonesia.com/market/20210429155233-17-241934/bantah-bank-aladin-syariah-induk-shopee-belum-ada-diskusi Di koco
waduhh kacau",BANK,4:58:53 PM,Thursday April 29 2021
27,28,Rifai Ahmad,"Membalas : trading saham di ihsg agak susah deh..trading koin yg lebih gampang..  drop baru 8 hari uda banyak yg ath lg tu blm lagi s
Sekali tweet haka all n sama aj maen ihsg cuan ya sebulan  ",KOIN,4:55:29 PM,Thursday April 29 2021
28,29,Rania Sungkar,"Membalas : doge butuh elon, antm butuh elon, ihsg butuh elon :rocket::rocket::rocket: 
Si paman elon hype",ANTM,4:55:00 PM,Thursday April 29 2021
29,30,Erich,"Membalas : Ups dogefather  
doge butuh elon, antm butuh elon, ihsg butuh elon :rocket::rocket::rocket: ",ANTM,4:54:31 PM,Thursday April 29 2021
30,31,Rania Sungkar,"Membalas : trading saham di ihsg agak susah deh..trading koin yg lebih gampang..  drop baru 8 hari uda banyak yg ath lg tu blm lagi s
Ups dogefather  ",KOIN,4:53:58 PM,Thursday April 29 2021
31,32,Erich,"Membalas : Gampang bener trading saham ya. Tinggal minta rekomendasi, beli, cuan...
trading saham di ihsg agak susah deh..trading koin yg lebih gampang..   drop baru 8 hari uda banyak yg ath lg tu   blm lagi si legend guguk tinggal satu tweet elon, 5 menit bisa naik belasan puluhan persen  ","KOIN,SATU",4:53:15 PM,Thursday April 29 2021
32,33,Rui :rocket: :speedboat::dancer: ,"Membalas : Sore om..sy newbie..trading pertama kali.. rekomendasi saham nya.. mksh
Mindsetnya tolong dirubah kak, pertanyaannya harusnya:

""Saya newbie baru trading pertama kali, apa yang harus pertama saya pelajari ya agar bisa menghasilkan profit yang konsisten?""

Kalo cuma bisa minta rekom dengan alasan newbie mending uangnya jangan diputar disaham, daripada ngasi sumbangan gratis ke pompomers dan bandar",AGAR,4:30:56 PM,Thursday April 29 2021
