,Data,User,Pesan,Saham,Jam,Tanggal,Status
0,1,Fakhri Arsyan,Leave one wolf alive and the sheep are never safe,SAFE,11:47:23 PM,Friday April 9 2021,Hapus
1,2,Benhan,"Soal influencer, buat saya semua itu tujuannya pom2, mau Belvin, Ustad, Kaesang, dll semua orang atau grup yg ajak beli saham tertentu. 
Kalaupun tujuannya ada yg bukan buat DUMP (korbanin follower), paling ga pasti untuk PUMP, kerekin harga sahamnya naik. 
Mau itu SAME, CENT, AGRO, ANTM atau bahkan MPPA yg kemarin.
Kalau ikut2an tanpa punya ilmunya, sudah hampir pasti nyangkut di pucuk.

Ada juga yg pump and dump sekalian, raja tega. You masuk, gw jual. Tapi tentunya ga akan ada yg mau ngaku dirinya adalah si raja tega. Pastinya dikemas dalam bentuk: yuk kita cuan bareng2  

Dalam dunia di mana Sheep dimakan Wolves ini, jangan percaya ada yg mau berbagi cuan dg dirimu, everyone think about themselves first, MASUK bareng2 KELUAR masing2.

Dengan punya mindset seperti ini, lindungi asetmu dan belajar lah mengambil keputusan sendiri dg belajar analisa, psikologi trading, money management. Jangan tergantung sama orang lain.

Jangan bertanya: 

Udah boleh masuk belum ya?
Beli saham apa?
Saham xxx ini bagus ga?
TP di berapa ya?

Dan seribu pertanyaan yg membuatmu menjadi domba untuk dimakan serigala2 pasar modal.

 Men enter into speculation in Wall Street without any preparation. They have made no study of it whatsoever. They try to deal in something they know nothing about. Is it any wonder then that they lose? 
Dan pada akhirnya, fakta kehidupan adalah domba jumlahnya jauh lebih banyak dari serigala. 

So be a wolf, not a sheep.
","AGRO,ANTM,CENT,DEAL,MPPA,RAJA,SAME",11:42:00 PM,Friday April 9 2021,Hapus
2,3,panjianom,"Membalas : dewa kipas itu fenomenal. dia cuan 100jt dalam setengah jam saja dengan modal minim sekali. coba di-google
ok pak",DEWA,11:37:09 PM,Friday April 9 2021,Hapus
3,4,hery,dewa kipas itu fenomenal. dia cuan 100jt dalam setengah jam saja dengan modal minim sekali. coba di-google  ,DEWA,11:34:22 PM,Friday April 9 2021,Hapus
4,5,hnG-,"Membalas : Dewa kipas siapa om? Nah ayo pak @hmasori & pak @luckv02 di eksekusi ide nya ini
catur",DEWA,11:31:45 PM,Friday April 9 2021,Hapus
5,6,panjianom,"Membalas : Kontes trading nanti kayak Dewa Kipas, pakai bot atau tipu2 hehe mesti ada cctv realtime buat jadi saksi. Tapi seru juga nih ide
Dewa kipas siapa om?
Nah ayo pak @hmasori & pak @luckv02 di eksekusi ide nya ini  ",DEWA,11:31:36 PM,Friday April 9 2021,Hapus
6,7,Benhan,"Membalas : mending kalo kelahi adu porto atau adu di kontes trading aja
Kontes trading nanti kayak Dewa Kipas, pakai bot atau tipu2 hehe mesti ada cctv realtime buat jadi saksi.
Tapi seru juga nih idenya Kompetisi Fast Trading The Traders pakai juri dan hadiah  ","DEWA,FAST",11:24:01 PM,Friday April 9 2021,Hapus
7,8,Benhan,"Membalas : ngeri main leverage nya. tapi dia bisa bangun profile sampai dipercaya bank besar sampai segitunya, hal yang luar biasa
Karena capitalnya hitungan billion, bikin mata ijo banklah hehe...","BANK,MAIN",11:21:04 PM,Friday April 9 2021,Hapus
8,9,hery,"Membalas : Thanks Pak Carik. Bagus banget ini artikel. Bagaimana margin call menghabiskan aset seorang whale di Wallstreet.
ngeri main leverage nya. tapi dia bisa bangun profile sampai dipercaya bank besar sampai segitunya, hal yang luar biasa
silahkan debat dengan sehat yah, kalau tidak bisa dan sudah serang personal, silahkan selesaikan dengan kelahi","BANK,MAIN",11:07:50 PM,Friday April 9 2021,Hapus
9,10,Jee Satya,"Membalas : jangan jangan kayak kasus GAMESTOP..... katanya Retail bersatu naikkan harga
Satu komando itu, pake aplikasi comunication headset, 3 jt org malah, uangnya $ full margin. Mampus kalo ini...mana ada bdr menang/bisa kendalikan kalo spt itu. Ibarat di massa.. , kalo sini ratusan ribu rupiah, sana ratusan ribu usd. Temen kerja jd kasir di german aja toko roti lacinya perhari 400rb euro sd 500rb euro per hari. (Perbandingan aja)","ROTI,SATU,SINI",10:57:22 PM,Friday April 9 2021,Hapus
10,11,Jee Satya,"Membalas : mmg retail bisa naikkan harga sampai 50 poin lebih di ZINC?
Bisa dihaka puluhan ribuan orang terkomando dg full margin, tak terkendali tapi..",ZINC,10:55:24 PM,Friday April 9 2021,Hapus
11,12,Charles Prop,"Membalas : Biasanya yg ngomong mau ara, udh pada punya brang dibawah, tinggal tp, yg bru msuk pada nyangkut
nah bapak paham.  .
Membalas : Itu kan pendapat pribadi bapak aja   Jangan main jadi tuhan lah mau atur orang ngomong apa aja masa diatur
kalau uda bawa2 tuhan saya minggir dulu om. serem saya mainnya uda tuhan. padahal tuhan nda main saham dibawa2 juga.","MAIN,MASA",10:48:15 PM,Friday April 9 2021,Hapus
12,13,panjianom,"sebenarnya setiap orang dasarnya baik kok, yg bikin jahat itu krn pengaruh uang. uang itu panas seperti api     ",UANG,10:48:08 PM,Friday April 9 2021,Hapus
13,14,Ronny,"Membalas : ya gpp asal fair aja ngomongin orang jahat ya banyak yg jahat kok di dunia saham. klo cm ngomong 1 kan cuma tendensi aja jatohny
Itu kan pendapat pribadi bapak aja  
Jangan main jadi tuhan lah mau atur orang ngomong apa aja masa diatur","MAIN,MASA",10:47:39 PM,Friday April 9 2021,Hapus
14,15,Charles Prop,"ga sekalian ngomongin si ustad YM ama kaesang om sekalian? yg bikin sangkut antm, pgas, kons dll?

kalau mau ngomongin jeleknya orang sih silahkan aja, hehe","ANTM,PGAS",10:44:05 PM,Friday April 9 2021,Hapus
15,16,Ronny,"Membalas : nga. kenapa yg disorot cuma si b aja? padahal yg lain pompom suka bikin sangkut loh.. contohnya grup idx yg suka ngasih ara sign
Bebas donk orang mau sorot siapa. Masa diatur2 juga   ",MASA,10:43:43 PM,Friday April 9 2021,Hapus
16,17,Charles Prop,"Membalas : wah gue males jawab sama orang yg gak nyambung gitu 
nga. kenapa yg disorot cuma si b aja? padahal yg lain pompom suka bikin sangkut loh.. contohnya grup idx yg suka ngasih ara signal.. psab di goreng 3x sama dia sekarang hasilnya? hehe cuma kok ga disorot gitu. padahal orangnya lumayan terkenal loh si R",PSAB,10:42:54 PM,Friday April 9 2021,Hapus
17,18,Charles Prop,"Membalas : Photo
oh gitu. kalo dia pompom enrg kenapa om? bandarnya si belvin kah?
",ENRG,10:37:39 PM,Friday April 9 2021,Hapus
18,19,Elon Mas,"Membalas : Dikira saham mentang punya duit gede bs ngebandarin sendiri ya. Masi inget gw zmn saham repo zinc, bandarnya sehari2 naiki
mmg retail bisa naikkan harga sampai 50 poin lebih di ZINC?
Membalas : wah kapan pompomnya om?
lihat IG nya Belvin aja kan tahu, udah pernah lihat apa belum?",ZINC,10:33:48 PM,Friday April 9 2021,Hapus
19,20,Charles Prop,"Membalas : lho gak tahu kah kalo B pom pom ENRG? KUPER lu 
wah kapan pompomnya om?",ENRG,10:33:42 PM,Friday April 9 2021,Hapus
20,21,Elon Mas,"Membalas : B bukan bandar ENRG om. Siapa suru nyoba main saham b7  
lho gak tahu kah kalo B pom pom ENRG? KUPER lu ","ENRG,MAIN",10:32:13 PM,Friday April 9 2021,Hapus
21,22,Maimunah,"Membalas : Isinya impian ttg masa depan  semoga sukses 
     ",MASA,10:31:17 PM,Friday April 9 2021,Hapus
22,23,Jee Satya,"Membalas : https://youtu.be/n4en0wYZC5s
Isinya impian ttg masa depan  semoga sukses 
",MASA,10:22:59 PM,Friday April 9 2021,Hapus
23,24,Tama,"Membalas : betul. WB itu main politik juga untuk memuluskan jalur investingnya. WB saingan sama soros. satu demokrat satu republik. tapi i
yaa ga ada yg tau sosok aslinya seseorang.. kecuali org itu sendiri.. intinya saling menghargai ga ada sindir menyindir damai cari cuan lah .. hhe   ","MAIN,SATU",8:45:10 PM,Friday April 9 2021,Hapus
24,25,Jee Satya,"Membalas : Dikira saham mentang punya duit gede bs ngebandarin sendiri ya. Masi inget gw zmn saham repo zinc, bandarnya sehari2 naiki
Makanya, teamwork kliatannya hihi. Nebak aja,",ZINC,8:39:47 PM,Friday April 9 2021,Hapus
25,26,Charles Prop,"Membalas : Kalo gerak sindirian emangnya fulpen punya ratusan miliard, disinilah logik yg membuat org bertanyo tanyo guyur2nya. Coba aja
Dikira saham mentang punya duit gede bs ngebandarin sendiri ya   . Masi inget gw zmn saham repo zinc, bandarnya sehari2 naikin 3-5 tick eh dateng retail2 jagoan sok2 angkat sampe 230. Akhirnya  ",ZINC,8:38:49 PM,Friday April 9 2021,Hapus
26,27,Steven,emang ovo udah pasti ke BANK? bukannya cuma mantan karyawannya ya itu?,BANK,8:38:37 PM,Friday April 9 2021,Hapus
27,28,Charles Prop,"Membalas : Kalo menurut saya saham LQ45 vs gorengan jelas beda, LQ45 mau naek 50% dalam 2 hari berat banget, tp sebaliknya saham2 gorengan.
Antm dlu mah enak ngerek keatas om dari 300 ke 3300 dalam waktu 4-5 bulan itu apa nga asik om? Lq45 rasa gorengan juga itu
Membalas : seperti ENRG kan si B koar koar buktinya kemarin dan hari ini Turun
B bukan bandar ENRG om. Siapa suru nyoba main saham b7  ","ANTM,ENRG,MAIN",8:34:23 PM,Friday April 9 2021,Hapus
28,29,Elon Mas,"Membalas : Photo
senin pagi naik dulu, trus pelan pelan dijual i",TRUS,7:58:47 PM,Friday April 9 2021,Hapus
29,30,Joe,"Ini BVIC yg di pompom jg, liat aja sellernya sapa
Ini adalah foto",BVIC,7:54:31 PM,Friday April 9 2021,Hapus
30,31,            ,"Membalas : seperti ENRG kan si B koar koar buktinya kemarin dan hari ini Turun
Guyuran bolpen udah",ENRG,7:54:11 PM,Friday April 9 2021,Hapus
31,32,Elon Mas,"pokoknya kalo si B udah koar koar saham tertentu lebih baik siap siap jualan aja
seperti ENRG kan si B koar koar  buktinya kemarin dan hari ini Turun",ENRG,7:51:55 PM,Friday April 9 2021,Negatif
32,33,Joe,"Ini adalah foto
Itu posisi waktu tgl 05, Bolpen keluar banyak, saya ingat bgt karna di area 600an saya ikutan keluar jg, hanya saja kalo sekarang saya liat ada ganti bandar keknya di FILM.",FILM,7:42:56 PM,Friday April 9 2021,Hapus
33,34,Ronny,"Membalas : Gmn kalau faktanya antm ga ke 4rb  ? Statementnnya menurut sy terlalu bias. Apalagi dia postnya di medsos. Jadi bs aja selalu d
Ya dinilai aja angka tsb angka asal2 atau ada dasar perhitungan sesuai kaedahnya. 

Jangan bermain jadi tuhan lah. Sudah dihitung dengan kaedah tetapi ternyata ada tambahan faktor lain yg merubah perhitungan tentu dimaklumi. Kecuali main jadi tuhan, pokoknya mau kesana ga pedulikan faedah2.","ANTM,MAIN",7:36:20 PM,Friday April 9 2021,Bingung
34,35,Vincent,Gmn kalau faktanya antm ga ke 4rb  ? Statementnnya menurut sy terlalu bias. Apalagi dia postnya di medsos. Jadi bs aja selalu dijadikan pembenaran atas apa yg udah ternyata salah  ,ANTM,7:31:32 PM,Friday April 9 2021,Hapus
35,36,Clara Ev,"Membalas : PNBS saya sudah sellm soalnya dia membentuk rambut panjang
Rambut panjang apa ya artinya",PNBS,7:30:48 PM,Friday April 9 2021,Hapus
36,37,Charles Prop,"Membalas : Photo
betul. WB itu main politik juga untuk memuluskan jalur investingnya. WB saingan sama soros. satu demokrat satu republik.

tapi intinya investing lebih proven hasilnya untuk jangka panjang
Membalas : Urusan orang rugi atau engga ya urusan mereka. Hak kita juga nilai orang jahat apa engga. Bukan berarti karena korbannya bodoh2
karena manusia tamak pak. coba nga tamak/greed, pasti ga akan kena hehe. simplenya disitu aja. 

coba skarang coin2an tuh, yg modal puluhan juta uda jadi milyaran padahal trading aja ga bisa cm asal beli coin yg ga ada valuasinya tiba2 digoreng lsng kaya raya.

dan sekarang orang yg ikut2an masuk belakangan tau2 kena dump mau disalahin orang yg rekomen beli coin tersebut? ya semua ada kepentingan pak.

kalau ga mau terjebak ya belajar sendiri, cari tau sendiri, beli sendiri. simpelnya seperti itu aja.","MAIN,SATU",7:17:29 PM,Friday April 9 2021,Bingung
37,38,Tama,"Membalas : antm fundanya mana bagus pak? DPR nya aja pelit sekali bagi deviden dari dulu. padahal perusahaan trading emas milik negara pula
Sbnrnya intinya jangan saling sindir aja..  ",ANTM,7:13:01 PM,Friday April 9 2021,Hapus
38,39,Ronny,"Membalas : malahan bnyk temen2 saya yg ga ikut grup dia cuan gede2an di film dapet 2x malah dari 400an
Ya bagus donk cuan.
Coba kalo jadi korban niat jahatnya, pasti beda omongannya   ",FILM,7:12:48 PM,Friday April 9 2021,Hapus
39,40,Bayu Setiadi,"Membalas : malahan bnyk temen2 saya yg ga ikut grup dia cuan gede2an di film dapet 2x malah dari 400an
360an om..  ",FILM,7:11:18 PM,Friday April 9 2021,Hapus
40,41,Charles Prop,"Membalas : Betul sekali Bedanya cuman ada niat jahat apa engga aja   
malahan bnyk temen2 saya yg ga ikut grup dia cuan gede2an di film dapet 2x malah dari 400an ",FILM,7:10:43 PM,Friday April 9 2021,Hapus
41,42,Soebianto,"Membalas : itu ci f liat nya dari sisi fundamental hu tapi ya kalau alesan fundamental ya bener tapi kalau bener salah di liat dari naik tu
Ci F ini yang bikin video ANTM target 4k waktu ANTM 3K ya?",ANTM,7:07:53 PM,Friday April 9 2021,Hapus
42,43,Charles Prop,"Membalas : itu ci f liat nya dari sisi fundamental hu tapi ya kalau alesan fundamental ya bener tapi kalau bener salah di liat dari naik tu
antm fundanya mana bagus pak? DPR nya aja pelit sekali bagi deviden dari dulu. padahal perusahaan trading emas milik negara pula.

itu kan cuma sentimen tesla aja, toh dari desember juga uda keliatan gelagatnya tesla ga akan masuk kesini, cuma kan pada menutup mata batin aja pura2 ga tau yg penting haka.",ANTM,7:07:42 PM,Friday April 9 2021,Negatif
43,44,Tama,"Membalas : si F ini sempet nyinyirin FILM ini saham apaan. kok dibeli? itu pas harga di 400 wkwkwk.. skrg uda liat gini uda +50% sedang ant
Ada video nyindir crypto jg pak dia   sampe indodax komen di feednya jelasin... padahal temen2 yg trading/invest crypto ga ada sensi sama saham .. sangat disayangkan sih",FILM,7:06:03 PM,Friday April 9 2021,Hapus
44,45,nathan,"Membalas : si F ini sempet nyinyirin FILM ini saham apaan. kok dibeli? itu pas harga di 400 wkwkwk.. skrg uda liat gini uda +50% sedang ant
itu ci f liat nya dari sisi fundamental hu tapi ya kalau alesan fundamental ya bener tapi kalau bener salah di liat dari naik turun nya harga itu beda lagi hu ",FILM,7:06:01 PM,Friday April 9 2021,Hapus
45,46,Ronny,"Membalas : si F ini sempet nyinyirin FILM ini saham apaan. kok dibeli? itu pas harga di 400 wkwkwk.. skrg uda liat gini uda +50% sedang ant
Ntar juga dibanting lagi, kayak ga tau bolpen aja   ",FILM,7:02:02 PM,Friday April 9 2021,Hapus
46,47,Gue Keren,"Membalas : si F ini sempet nyinyirin FILM ini saham apaan. kok dibeli? itu pas harga di 400 wkwkwk.. skrg uda liat gini uda +50% sedang ant
Iya liat videonya ini  ",FILM,6:59:52 PM,Friday April 9 2021,Hapus
47,48,Charles Prop,"Membalas : Wkkww iya malah offside gw wkkwk
si F ini sempet nyinyirin FILM ini saham apaan. kok dibeli? itu pas harga di 400 wkwkwk.. skrg uda liat gini uda +50% sedang antm dar 4000 jadi 2000 -50%. 

emang kalo uda jadi influencer ga bole gegabah klo ngomong","ANTM,FILM",6:59:09 PM,Friday April 9 2021,Hapus
