,Data,User,Pesan,Saham,Jam,Tanggal,Status
0,1,Maimunah,"Membalas : Pakde itu EMTK ada private placement harga 1900 an tuh bisa diguyur di pasar reguler g. kok saya nangkepnya mereka(inv institusi
Yg begini kmrn dikomplen mantan org bei merugikan pasar reguler 
",EMTK,11:01:05 PM,Tuesday April 6 2021,Hapus
1,2,Andrian,"Membalas : Begini kak, Naver masuk k EMTK itu jadi investor ...ya kali baru masuk lsg guyur .... dia bisa beli di harga 1900 ya karena beli
oh okey berarti naver ini salah satunya productnya si line",EMTK,10:11:36 PM,Tuesday April 6 2021,Hapus
2,3,Rui :rocket: :speedboat::dancer: ,"Membalas : dia buy di 19xx kl skrg di 2500 itu boleh diguyur apa ndak. soalnya kan satu afiliasi dg SAME dagangannya cici
Begini kak, Naver masuk k EMTK itu jadi investor ...ya kali baru masuk lsg guyur .... dia bisa beli di harga 1900 ya karena belinya borongan alias nawar dia ... ga mungkin mau beli di harga market .... 
Sekarang posisikan anda sebagai investor, anda masuk beli saham perusahaan dengan nilai sangat besar jadi anda nawar dengan harga 1900  per saham ... skrg harganya 2500, dimana kalau anda guyur, harganya kan turun dimana anda tidak akan bisa jual semua saham anda di harga 2500, bisa jadi malah avg bisa dijual hanya di sekitar 2000 atau bahkan juga sama k 1900 ... apakah ini menguntungkan buat investornya?

Sekali lagi, kalau melihat berita ini harus memposisikan diri sebagai investor, bukan ritel yang sukanya dikit2 TP   

Selain itu juga EMTK sendiri tidak akan mau harga sahamnya turun karena investor2 dia yang lain juga pasti akan 'upset'

@Andr14n  Naver itu macam Googlenya Korea kak, perusahaan besar banget itu ....","EMTK,SAME,SATU",10:09:20 PM,Tuesday April 6 2021,Bingung
3,4,Andre Salim,dia buy di 19xx kl skrg di 2500 itu boleh diguyur apa ndak. soalnya kan satu afiliasi dg SAME dagangannya cici,"SAME,SATU",10:02:13 PM,Tuesday April 6 2021,Hapus
4,5,Clara Ev,"Kayanya Pnbs bisa jd wl yaa ga sih.. 
masih murah bgt ga sih buat banking",PNBS,10:01:57 PM,Tuesday April 6 2021,Positif
5,6,Rui :rocket: :speedboat::dancer: ,"Membalas : Pakde itu EMTK ada private placement harga 1900 an tuh bisa diguyur di pasar reguler g. kok saya nangkepnya mereka(inv institusi
kayanya ada backdoor ya yang Naver itu bukan kak?   ",EMTK,10:00:35 PM,Tuesday April 6 2021,Hapus
6,7,Hendro Masori,"Membalas : Pakde itu EMTK ada private placement harga 1900 an tuh bisa diguyur di pasar reguler g. kok saya nangkepnya mereka(inv institusi
Saya gak tau kalau ini",EMTK,9:52:17 PM,Tuesday April 6 2021,Hapus
7,8,Eko Bawono,"Trima ksh opininya ttg RAJA. Tidak ada jawaban salah. Setiap orang view nya mungkin beda
#RAJA daily. Formasi candle n volume
Ini adalah foto",RAJA,9:51:22 PM,Tuesday April 6 2021,Hapus
8,9,Andre Salim,"Membalas : Udah saya sebut di video
Pakde itu EMTK ada private placement harga 1900 an tuh bisa diguyur di pasar reguler g. kok saya nangkepnya mereka(inv institusi) maen belakang ya?",EMTK,9:50:47 PM,Tuesday April 6 2021,Hapus
9,10,Aho Lie,"Membalas : Mantap nih... Hormat ko Aho
   
Membalas : Mantap nih... Hormat ko Aho
Ci rui Same mau dibawah ke Rp 1000 saya gak usah tinggi2 500 aja cent    
","CENT,SAME",9:46:42 PM,Tuesday April 6 2021,Bingung
10,11,Erich,skrg yg digerakin grup2 l ya   mppa mlpl lppf,"LPPF,MLPL,MPPA",9:44:09 PM,Tuesday April 6 2021,Bingung
11,12,Yosua Sitompul,"Mau tanya sedikit pak @hmasori dengan kondisi arb 7% saat ini, apakah bisa dipastikan si 161 sudah pasti membentuk pola HTF karena kalaupun ARB 2 hari ini ga nyentuh dibawah titik breakoutnya?",POLA,9:42:19 PM,Tuesday April 6 2021,Negatif
12,13,Kaanz',"Membalas : Amin pak disebelah ada dgn enteng tampilin chart trus koment gak perlu ilmu macem2 untuk tau bakal ke 190 seolah2 paling ngerti
Waduh pesimis banget , ya memang kita ga tau kedepannya akan seperti apa, toh kalo memmg bkal turun kan tinggal gimna kita atur trading plan nya, Plan your Trade and Trade you Plan ","AMIN,PLAN,TRUS",9:37:38 PM,Tuesday April 6 2021,Negatif
13,14,Aho Lie,"Membalas : Kalo perlu nambah muatan lagi , ini konsolidasi bakal lama mungkin , ampe mau RI
Mudah2an dibawah sampai nikah beranak cucu cicit     
Membalas : Asal sabar insya Allah vuan lebar 
Amin pak disebelah ada dgn enteng tampilin chart trus koment gak perlu ilmu macem2 untuk tau bakal ke 190 seolah2 paling ngerti kesel saya   ","AMIN,TRUS",9:34:33 PM,Tuesday April 6 2021,Hapus
14,15,Aho Lie,"Membalas : Stay masih aman pak?  Keluar masuk ga capek 
Hr ini gak keluar masinis tutup pintu gerbong katanya klo turun ditinggalin ya udah nunggu didlm    ",AMAN,9:32:31 PM,Tuesday April 6 2021,Hapus
15,16,Kaanz',"Membalas : Saya nunggu dicent aja semoga dikerek 3x lipat jg  
Stay masih aman pak?  Keluar masuk ga capek ",AMAN,9:31:42 PM,Tuesday April 6 2021,Hapus
16,17,Aho Lie,"Membalas : Iyaa makanya pasang auto order biar ga ktinggalan pak, smoga diikuti dgn volume yg sipp
Mudah2an pak  ",AUTO,9:27:17 PM,Tuesday April 6 2021,Hapus
17,18,Nanang Eko,"Membalas : Masuk akal tp klo tembus dia keatas nurut saya pak   
Iyaa makanya pasang auto order biar ga ktinggalan pak, smoga diikuti dgn volume yg sipp ",AUTO,9:23:59 PM,Tuesday April 6 2021,Hapus
18,19,Aho Lie,"Membalas : CENT itu salesnya kak Aho    hahahaha
Ok kita bagi tugas ci   
Membalas : Klo saya pasang auto order di 304 pak 
Masuk akal tp klo tembus dia keatas nurut saya pak   ","AUTO,CENT",9:20:30 PM,Tuesday April 6 2021,Hapus
19,20,Nanang Eko,"Membalas : sentuh 300 lsg haka   
Klo saya pasang auto order di 304 pak 
",AUTO,9:12:29 PM,Tuesday April 6 2021,Hapus
20,21,Andrian,"Membalas : Bisa pak.. Caranya sebelum tidur coba bayangkan uang 5M... Nanti klo Tiba2 mimpi indah dpt segitu klo pagi nya ga mau ilang ya g
hahahaha",UANG,9:03:54 PM,Tuesday April 6 2021,Hapus
21,22,Chris Tian Tee,"Membalas : Betul banget kaak. Soalnya kalo soft cash ke developer ga ada backingan KPR bank itungan bulan kudu lunas eee ketiban koro
Sabar adalah koentji... Tetap semangat","BANK,CASH",9:00:31 PM,Tuesday April 6 2021,Hapus
22,23,Billy,"Membalas : wah bisikin caranya hu biar bisa kayak gitu tp kalau bisa paginya tetep 5 m
Bisa pak.. Caranya sebelum tidur coba bayangkan uang 5M... Nanti klo Tiba2 mimpi indah dpt segitu klo pagi nya ga mau ilang ya ga usah bangun dari tdr nya pak    ",UANG,9:00:02 PM,Tuesday April 6 2021,Hapus
23,24,Rui :rocket: :speedboat::dancer: ,"Membalas : Mantap sales nya kak @RuiAuxilia. Memang luar biasa... Sales cent.. kaka juga?
CENT itu salesnya kak Aho    hahahaha",CENT,8:59:26 PM,Tuesday April 6 2021,Hapus
24,25,Chris Tian Tee,"Membalas : Bagus, gapapa yang penting sudah cuan kak      Ga nyesel saya jadi salesnya
Mantap sales nya kak @RuiAuxilia. Memang luar biasa... Sales cent.. kaka juga?",CENT,8:58:40 PM,Tuesday April 6 2021,Hapus
25,26,Dewi Calico,"Membalas : Power of kepepet ya kak.. Malah justru cepet expert krn bener2 3x lipat semangat nya
Betul banget kaak. Soalnya kalo soft cash ke developer ga ada backingan KPR bank   itungan bulan kudu lunas   eee ketiban korona  ","BANK,CASH",8:56:50 PM,Tuesday April 6 2021,Hapus
26,27,Hendro Masori,"Membalas : Mantap pak @hmasori Eko Bawono Mau tanya pak guru, buku O'Neill yang bapak baca apa ya judulnya
Udah saya sebut di video",BACA,8:52:06 PM,Tuesday April 6 2021,Hapus
27,28,RBTAN59,"Membalas : Bner bgt nih pak, mlpl yg blm trlalu ngegas 
mudahan besok dah di gas   ",MLPL,8:48:39 PM,Tuesday April 6 2021,Hapus
28,29,Nanang Eko,"Membalas : Hari ini 22persen pak  , kurang ngegas yaaa
Coba cek mppa dri awal mulai hijau mbak, skrng udh tinggi bgt 
Yaa sama  udh tinggi sh, tinggal lppf nya yg blm naik bnyak diantara lippo group ","LPPF,MPPA",8:43:54 PM,Tuesday April 6 2021,Positif
29,30,Arizal Prima,"Membalas : Mantap pak @hmasori Eko Bawono Mau tanya pak guru, buku O'Neill yang bapak baca apa ya judulnya
How to make money in stock.
File softcopy tersedia di telegram ini",BACA,8:43:15 PM,Tuesday April 6 2021,Hapus
30,31,Ratih Estiani,"Membalas : Bner bgt nih pak, mlpl yg blm trlalu ngegas 
Hari ini 22persen pak  , kurang ngegas yaaa",MLPL,8:43:15 PM,Tuesday April 6 2021,Hapus
31,32,Nanang Eko,"Membalas : sy sdh pantau slalu beriringan dgn mlpl jg gerak hrg nya   
Bner bgt nih pak, mlpl yg blm trlalu ngegas 
",MLPL,8:42:00 PM,Tuesday April 6 2021,Netral
32,33,Rui :rocket: :speedboat::dancer: ,"Membalas : Iya kak beli same jg... Sayang blm sempet nambah lot uda terbang kak... Uda keburu TP td...
Bagus, gapapa yang penting sudah cuan kak     

Ga nyesel saya jadi salesnya   ",SAME,8:41:34 PM,Tuesday April 6 2021,Positif
33,34,Billy,"Membalas : Kepepet duit ngebut bayar rumah juga soalnya karna soft cash dg developer mumet karna korona mau usaha apaan korona benera
Tp Hati2 ya kak.. Lebih baik trading pake uang dingin.. Atau klo emang udh cuan. Uang buat bayar rumah nya di ambil aja sisa cuan nya baru buat trading","CASH,UANG",8:41:23 PM,Tuesday April 6 2021,Hapus
34,35,Kaanz',"Membalas : https://youtu.be/UGqvooPfTEQ
Mantap pak @hmasori Eko Bawono 
Mau tanya pak guru, buku O'Neill yang bapak baca apa ya judulnya ",BACA,8:41:16 PM,Tuesday April 6 2021,Hapus
35,36,Chris Tian Tee,"Membalas : Kepepet duit ngebut bayar rumah juga soalnya karna soft cash dg developer mumet karna korona mau usaha apaan korona benera
Power of kepepet ya kak.. Malah justru cepet expert krn bener2 3x lipat semangat nya",CASH,8:38:53 PM,Tuesday April 6 2021,Hapus
36,37,Chris Tian Tee,"Membalas : Waaaah jadi kepengen swikeee .....      ... di Bali sini ga ada huhuhuhu @Viretz beli SAME juga kah?
Iya kak beli same jg... Sayang blm sempet nambah lot uda terbang kak... Uda keburu TP td...","BALI,SAME,SINI",8:36:46 PM,Tuesday April 6 2021,Positif
37,38,Puspita Wardani,"Membalas : sy sdh pantau slalu beriringan dgn mlpl jg gerak hrg nya   
Nah iya bener memang geraknya selalu barengan sama MLPL   sprt VIVA dan MDIA, sprt MARI n ABBA selalu barengan naik turunnya  ","ABBA,MARI,MDIA,MLPL,VIVA",8:32:50 PM,Tuesday April 6 2021,Positif
38,39,RBTAN59,"krn sangat jelas piutang temasek usd300jt kalo di konversi ke lembar saham nilai nya 1800/lembar
Membalas : MPPA sy baru masuk tadi   iseng iseng langsung naik  
sy sdh pantau slalu beriringan dgn mlpl jg gerak hrg nya   ","MLPL,MPPA",8:29:43 PM,Tuesday April 6 2021,Positif
39,40,RBTAN59,"Membalas : MPPA sy baru masuk tadi   iseng iseng langsung naik  
sdh dr di maret sy sdh sring ingetin koh Aho   
Membalas : Betul sekali makanya 3hr ini naik kan  
sy sdh feel dr feb sejak ada berita crossing temasek",MPPA,8:26:22 PM,Tuesday April 6 2021,Hapus
40,41,Dewi Calico,"Membalas : Photo
MPPA sy baru masuk tadi   iseng iseng langsung naik  ",MPPA,8:24:37 PM,Tuesday April 6 2021,Positif
41,42,RBTAN59,ternyata mppa mau ri sdh curi start di kerek    ,MPPA,8:24:30 PM,Tuesday April 6 2021,Positif
42,43,46 (     ) (Selvia Susilowati),"Membalas : Kepepet duit ngebut bayar rumah juga soalnya karna soft cash dg developer mumet karna korona mau usaha apaan korona benera
Bnyk hikmah dr korona kak ",CASH,8:24:07 PM,Tuesday April 6 2021,Hapus
43,44,Dewi Calico,"Membalas : Hmpir sm kak
Kepepet duit ngebut bayar rumah juga soalnya karna soft cash dg developer   mumet karna korona mau usaha apaan   korona beneran bikin depresi    tapi karna itulah kenal trading",CASH,8:23:35 PM,Tuesday April 6 2021,Hapus
44,45,46 (     ) (Selvia Susilowati),"Membalas : Waaaah jadi kepengen swikeee .....      ... di Bali sini ga ada huhuhuhu @Viretz beli SAME juga kah?
Mampir ci klo ke prwddi..
Wah sy pgn ke bali mudah2an nnti ksmpean 
Membalas : Sy trading karna kepepet pas korona kan usaha riil jadi kocar kacir yaudah nabung sahamnya beralih trading dan ternyata seru
Hmpir sm kak","BALI,SAME,SINI",8:19:15 PM,Tuesday April 6 2021,Hapus
45,46,Rui :rocket: :speedboat::dancer: ,"Membalas : Salam kenal jg kak..sy jg jateng..wong purwodadi 
Waaaah jadi kepengen swikeee .....      ... di Bali sini ga ada huhuhuhu

@Viretz  beli SAME juga kah?  ","BALI,SAME,SINI",8:13:29 PM,Tuesday April 6 2021,Hapus
46,47,Eko Bawono,"#RAJA. apakah bagus?
Ini adalah foto",RAJA,8:11:01 PM,Tuesday April 6 2021,Hapus
47,48,Chris Tian Tee,"Membalas : Saya orang Semarang tapi sekarang sudah domisili Bali kak   
Wow kak @RuiAuxilia. Juga asli semarang.. Selalu ikutin pembahasan kakak tentang same","BALI,SAME",8:10:10 PM,Tuesday April 6 2021,Hapus
48,49,Chris Tian Tee,"Membalas : Jiah ga becanda.. Jd kemarin tengah malem Tiba2 kebangun cek porto coin jd 5 M gtu pas bangun balik lg ke 500 ribu. volatile bg
Ngimpi nya dapet 5M ya hu
Membalas : Salam kenal dari Semarang, banyak kok yg dr semarang. Cuman blm pernah pada ketemuan
Halo kak.... Mohon bimbingannya
Membalas : Sayaaaa
Mari berjuang bersama di ihsg... Bersama the traders",MARI,8:05:34 PM,Tuesday April 6 2021,Hapus
49,50,Chris Tian Tee,"Membalas : koh @ahauw tuh ya semarang
Wow ternyata master ko @ahauw 1 kota.. Selalu suka dengan pembahasan ko @ahauw  jelas banget",KOTA,8:04:08 PM,Tuesday April 6 2021,Hapus
50,51,Dewi Calico,"Membalas : Saya orang Semarang tapi sekarang sudah domisili Bali kak   
Wah salam kenal kakak senior",BALI,7:58:41 PM,Tuesday April 6 2021,Hapus
51,52,Rui :rocket: :speedboat::dancer: ,"Membalas : Halo kak ayo sama2 kita belajar dari para master.... Kebetulan saya org semarang jg.... Siapa yg orang semarang lagi di grup ini
Saya orang Semarang tapi sekarang sudah domisili Bali kak    ",BALI,7:57:58 PM,Tuesday April 6 2021,Hapus
52,53,Arif Goenawan,Wiim prediksi suhu2 msh bisa tembus 1000? Syaang nya sy sdh tp 940  ,WIIM,7:54:35 PM,Tuesday April 6 2021,Positif
