,Data,User,Pesan,Saham,Jam,Tanggal,Status
0,1,Anjar,Jadi fren menarik nga klo hold n tebus,FREN,11:27:20 PM,Friday April 23 2021,Netral
1,2,hmin918,"1. asumsi FREN cum 87 ex 82..berapa harga warrant minimal supaya balik modal
Jawab :
ratio RI 260 beli 5 right dapat 79 warrant

biaya 260 lbr beli cum jual ex
260 x (87-82) = 1300

biaya tebus right jual di 82
5 x (120-82) = 190

total biaya = 1300+190 = 1490

dapat warrant 79
jadi biaya per warrant 1300/79 = 16.45




2. asumsi FREN cum 87 ex 82 ratio RI 260 beli 5 right 
berapa harga jual FREN-R supaya balik modal ?

Jawab :

biaya 260 lbr beli cum jual ex
260 x (87-82) = 1300

jadi impas kalau jual right di 1300/5 = 260





3. Hitungan matematis harga FREN-R vs FREN vs FREN-W
FREN-R = (79 x FREN-W - 5x(120-FREN))/5

andai warrant 20 FREN 80 berapa FREN-R
FREN-R = (79 x 20 - 5 x (120-40))/ 5 = 276",FREN,10:55:22 PM,Friday April 23 2021,Bingung
2,3,Charles Prop,"Membalas : Minggu ini banyak saham false break out ya   tight stop loss is needed I think... U.S market or overall global market juga masi
kalau saya mix lihat bdmologynya juga biar lebih yakin, contoh bbtn kemarin naik 5% dikira BO semua, tau2nya liat bdmologynya bandar asing distribusi gede2an retailer yg borong, hari ini ditambah lagi distribusi amsiong lsng",BBTN,9:50:51 PM,Friday April 23 2021,Bingung
3,4,Kaanz',"Membalas : Raja gjtl disebut hu bil. Jadi tenang pegangnya  
Hahahaha    ayamnya juga saya pak ","GJTL,RAJA",9:48:37 PM,Friday April 23 2021,Hapus
4,5,Faliq H,"Membalas : Minggu ini banyak saham false break out ya   tight stop loss is needed I think... U.S market or overall global market juga masi
Raja gjtl disebut hu bil. Jadi tenang pegangnya  ","GJTL,RAJA",9:47:41 PM,Friday April 23 2021,Bingung
5,6,Charles Prop,"Membalas : Ini berita bagus buat ASSA apa enggak yaa ?
biar menarik ya jgn bilang buat bayar hutang. bilang buat penambahan modal kerja ",ASSA,9:44:43 PM,Friday April 23 2021,Positif
6,7,Hanif Faiz,"Membalas : http://investasi.kontan.co.id/news/bakal-rights-issue-adi-sarana-assa-bidik-dana-sebesar-rp-720-miliar Bakal rights issue, Adi
Ini berita bagus buat ASSA apa enggak yaa ?
Soalnya dana RI nyaa kebnyakan buat bayar utang",ASSA,9:23:17 PM,Friday April 23 2021,Positif
7,8,Hartono Chi,"Membalas : assa juga kayanya hu, cakep mantul di MA10
Kalo senin mantul keatas  artinya confirm bikin higher low ya?",ASSA,9:20:44 PM,Friday April 23 2021,Positif
8,9,Fajar Oktavaria,"Kalo di sb belum keliatan, dari berita sebelumnya yang dibawah ini kah ??
 https://m.bisnis.com/amp/read/20210122/192/1346590/northstar-ubah-pemegang-saham-bagaimana-dampaknya-ke-delta-dunia-makmur-doid
Ini adalah foto",DOID,9:03:12 PM,Friday April 23 2021,Bingung
9,10,Billy,"Membalas : assa juga kayanya hu, cakep mantul di MA10
Assa iya.. Arto juga senin klo mantul dari MA20 menarik
","ARTO,ASSA",8:28:37 PM,Friday April 23 2021,Positif
10,11,joshuatheo,"Membalas : Lg bentuk bull flag, support 565  
assa juga kayanya hu, cakep mantul di MA10","ASSA,BULL",8:27:24 PM,Friday April 23 2021,Positif
11,12,"Gunaidi Ivanna Bakery & CNI, Coal","Membalas : Photo
ICBP dan UNVR kapan spt ini...ya","ICBP,UNVR",7:55:34 PM,Friday April 23 2021,Negatif
12,13,Janson P.,"Overview ASII ( 23/04/2021 )

Sebelumnya, pergerakan ASII mengikuti garis trendlinenya. Ketika ia breakdown, maka ia harus membuat support baru. Dan support barunya itu terlihat  di 5025.

Hari senin nanti mungkin ia akan meretest resistance trendlinenya ( 5750 - 5800 ), jika berhasil break maka ada potensi besar bagi ASII, selain itu garis MA 200 juga sudah terlewati.
#analisis #bukanajakanbeli
Ini adalah foto",ASII,7:48:41 PM,Friday April 23 2021,Positif
13,14,Billy,"Membalas : Nah ini penting sih... kalau OLT nya ga bisa pasang auto order (stop loss, trailing stop), migrasi aja. Sering orang udah profi
Karena saya bisa pantau market setiap saat, itung2 latihan mendisiplinkan diri jadi ya mostly manual pak   karena ketika udh biasa manual cl, nanti ketika pake auto order udh ga nyesek2an wkwkw",AUTO,7:47:55 PM,Friday April 23 2021,Hapus
