,Data,User,Pesan,Saham,Jam,Tanggal,Status
0,1,Dimas Yusuf Bahtiar,agro gimana nihh kira2,AGRO,11:55:06 PM,Sunday April 4 2021,Hapus
1,2,Eddie,"Membalas : Coba lagi. Bisa kok
Ok sdh bisa, congratz ya Pak atas pembukaan  group tele yg baru hari ini, semoga bisa membantu banyak orang   
",TELE,10:38:19 PM,Sunday April 4 2021,Hapus
2,3,Kaanz',"Membalas : https://www.tradingview.com/x/97ttKD86
Mungkin bener ci, bikin swing low satu lagi , baru mantul pola 
Membalas : Done. Tadi lagi bikin GEMES
Kapan di upload pak de? Saya cek belum ada ","POLA,SATU",10:03:10 PM,Sunday April 4 2021,Hapus
3,4,Kaanz',"Membalas : CENT dluan ya yg ath 
Besok turun dulu ya om 
",CENT,9:57:44 PM,Sunday April 4 2021,Negatif
4,5,stefanus,"Membalas : Jangan dulu kak, seminggu lagi lah ditahan dulu ...   
CENT dluan ya yg ath ",CENT,9:56:41 PM,Sunday April 4 2021,Positif
5,6,Rui :rocket: :speedboat::dancer: ,"Membalas : SAME menuju ATH ci   Semoga breakout pekan ini  @RuiAuxilia
Jangan dulu kak, seminggu lagi lah ditahan dulu ...   ",SAME,9:55:58 PM,Sunday April 4 2021,Netral
6,7,Kaanz',"Membalas : Saya tetap di saham dulu kak, belum 1 tahun, masi bayi merangkak ini, mau nekunin disini dulu saja
SAME menuju ATH ci  
Semoga breakout pekan ini  @RuiAuxilia
",SAME,9:53:49 PM,Sunday April 4 2021,Positif
7,8,Rui :rocket: :speedboat::dancer: ,"Membalas : Ci @RuiAuxilia apakah mau pindah ke coin an apa msh brtahan di cent & same??
Saya tetap di saham dulu kak, belum 1 tahun, masi bayi merangkak ini, mau nekunin disini dulu saja  
","CENT,SAME",9:51:41 PM,Sunday April 4 2021,Hapus
8,9,Wilsen,"Membalas : Ke sini om   @TheTradersCC
Iya, salah chat, udh sy delete chatnya. Trims.",SINI,9:42:51 PM,Sunday April 4 2021,Hapus
9,10,Jee Satya MantabBro,Ke sini om   @TheTradersCC,SINI,9:41:31 PM,Sunday April 4 2021,Hapus
