,Data,User,Pesan,Jam,Tanggal,Status
0,1,Elon Mas,"Membalas :     pake dana 10jt aja lah pak kalo gitu 90jt nya taro deposito Beli cuman sejuta2, mau punya 100 saham apa hahahaa
ya kalo baru pertama kali beli saham kan buat belajar dulu, tunggu 1-2 tahun baru tambah , oh iya saya bilang aset itu beda sama cash lho pak , jadi aset itu bisa berupa mobil, rumah , dll",10:46:58 PM,Tuesday March 30 2021,Hapus
1,2,Aho Lie,"Membalas : Trending topic disini buat yg sering baca berita pasti ngerti.. Untuk membahas macro economy global dan domestic itu ruwet dan s
Setuju klo ada yg simple kenapa pilih ribet ",10:44:53 PM,Tuesday March 30 2021,Hapus
2,3,Carlo Micelli,"Membalas : Trending topic disini buat yg sering baca berita pasti ngerti.. Untuk membahas macro economy global dan domestic itu ruwet dan s
Haha  
But i'm really amazed with your point of view. I do.",10:38:06 PM,Tuesday March 30 2021,Hapus
3,4,Fajar Suryo,"Membalas : Trending topic disini buat yg sering baca berita pasti ngerti.. Untuk membahas macro economy global dan domestic itu ruwet dan s
Jadi besok haka apa koh?  ",10:29:22 PM,Tuesday March 30 2021,Hapus
4,5,Billy,"Membalas : Photo
Trending topic disini buat yg sering baca berita pasti ngerti.. Untuk membahas macro economy global dan domestic itu ruwet dan satu org ke org lain pasti banyak view sama aja kaya trading.. Buat apa ribet2 kalau bisa cuan simple  ",10:28:50 PM,Tuesday March 30 2021,Hapus
5,6,Billy,"Membalas : Nah ini sebenernya yg agak bingung, dana dr hasil jualan bonds itu kita ga tau pastinya kan bener masuk ke market atau ga, apa a
Gini pak.. Negara kita ini kan punya balance sheet.. Tentu post nya ada pendapatan dan pengeluaran.. Nah menurut peraturan UUD.. Defisit apbn kita itu max 3% GDP.... Lalu bagaimana untuk menambal kekurangan nya.. Ya dgn terbitkan bond.. Bond ini nanti di pake untuk post2 apbn..
Selama covid ini defisit kita membengkak ke 6%an uang mostly dipake untuk kesehatan dan program recovery ekonomi after pandemic... Jd uang nya ga balik ke market.. Tp ke real economic...
Beda dgn yg di lakukan the fed.. Itu dari sisi kebijakan moneter.. Nah kita pun bisa.. Dgn cara BI intervensi rupiah misal.. Tp belum bisa sepengetahuan saya BI intervensi ke equity market.. Hanya sebatas bond dan rupiah serta inflasi",10:21:00 PM,Tuesday March 30 2021,Bingung
6,7,rigeladitya,"Membalas : JIKA, BPJS memang akan mengurangi porsi investasi pada saham dan RD maka ada 2 kemungkinan : Pertama, akan menjual kepemilikan R
Setuju ko. Jual sahamnya BPJS ga semudah ritel jualan saham. Banyak kepentingan negara di sini. Kalau mau bener bener jualan ini BPJS, berbagai lembaga negara pasti bersatu padu memuluskan rencana ini.",10:17:17 PM,Tuesday March 30 2021,Hapus
7,8,Tama,"Membalas : Kan Selama ini kaya gtu.. Dia yg menyerap gov bond dan bantu jaga pasar Saham.. Kalau untuk stimulus kita ga Bisa sembarangan pa
Dsana nabung di bank minus  ",10:14:59 PM,Tuesday March 30 2021,Hapus
8,9,Aliong,"Membalas : Kan Selama ini kaya gtu.. Dia yg menyerap gov bond dan bantu jaga pasar Saham.. Kalau untuk stimulus kita ga Bisa sembarangan pa
Nah ini sebenernya yg agak bingung, dana dr hasil jualan bonds itu kita ga tau pastinya kan bener masuk ke market atau ga, apa ada institusi selain bpjs apa dana dipake buat ngamanin rupiah atau memang dananya buat cadangan kas aja
Membalas : Plus pasar modal di Jepang udh mature.. Udh dari sebelum PD.. Kita kan masih terbilang ABG
Yak betul makanya susah kalo ada berita yg suka bandingin growth jepang vs indo",10:13:04 PM,Tuesday March 30 2021,Hapus
9,10,rahmad,jadi asing keluar sebulan ini untuk jaga2 masalah bpjs ini ya? dilihat dari ngerinya asing keluar dari BBRI yang mana BPJS sudah untung,10:12:14 PM,Tuesday March 30 2021,Negatif
