,Data,User,Pesan,Saham,Jam,Tanggal
0,1,Aho Lie,"Membalas : kenapa di kali 10 ya? bukannya di kali 100?
Maksd 376 dpt 10 r
Bpk ksn setiap punya saham lama fren 376 dpt 10 r trus klo ditebus dpt waran 131","FREN,TRUS",11:16:37 PM,Wednesday April 14 2021
1,2,hery,"iya, aseli ngakak baca di sebelah    ",BACA,11:03:55 PM,Wednesday April 14 2021
2,3,Erich,Lg galau di shake market sana sini  ,SINI,10:58:44 PM,Wednesday April 14 2021
3,4,Albert T,"Membalas : Saham galau bahas crypto di sini..crypto galau bahas saham di sana..   
manusia memang repot    ",SINI,10:57:47 PM,Wednesday April 14 2021
4,5,Erich,"Membalas : malah lagi bahas saham di sana    
Saham galau bahas crypto di sini..crypto galau bahas saham di sana..   ",SINI,10:57:18 PM,Wednesday April 14 2021
5,6,Melvin E. S.,"Ada guyuran hari ini ... Perlu hati hati mana tahu Bandar sudah main belakang mindahin barang. Semoga tetap uptrend...
Ini adalah foto
",MAIN,10:29:15 PM,Wednesday April 14 2021
6,7,TERI NASI GABION Yes I CAN,"Membalas : Mau di panggilin ke sini yg nulis ?
Halo Hu.. ada di tmpt Pak @frans14 kan ya Beliau itu",SINI,9:30:50 PM,Wednesday April 14 2021
7,8,Soebianto,"Membalas : Mau di panggilin ke sini yg nulis ?
Wah hebat hu Fer bisa manggilin  ",SINI,9:23:30 PM,Wednesday April 14 2021
8,9,Zhuge-Liang,"Membalas : Mau di panggilin ke sini yg nulis ?
Colek yg nulis Hu Fer...   ",SINI,9:22:16 PM,Wednesday April 14 2021
9,10,Ferry Setiawan,"Membalas : Photo
Mau di panggilin ke sini yg nulis ?",SINI,9:18:38 PM,Wednesday April 14 2021
10,11,Bukan Bandar,"Itu link nya Om
Membalas : Photo
Ada berubah sdkt angka karena tambahan saham konversi 39M lembar... yg IG lengkap
",LINK,9:13:42 PM,Wednesday April 14 2021
11,12,Bukan Bandar,"Membalas : Baiknya kasih link Pak, kalau cuman gambar kita hanya bisa nebak2 kira2 apa strategi nya
https://www.instagram.com/p/CNo9IXLpH6HVg-bgM0tNP3vD-AWTE0Fl626s9s0/?igshid=3jm5tm34h2d1",LINK,9:12:39 PM,Wednesday April 14 2021
12,13,Adion,"Membalas : Baiknya kasih link Pak, kalau cuman gambar kita hanya bisa nebak2 kira2 apa strategi nya
Instagram ada pak itu",LINK,9:00:31 PM,Wednesday April 14 2021
13,14,Soebianto,"Baiknya kasih link Pak, kalau cuman gambar kita hanya bisa nebak2 kira2 apa strategi nya",LINK,8:59:11 PM,Wednesday April 14 2021
14,15,Bukan Bandar,"Mau minta pendapat para suhu ttg strategi RI FREN tanpa membeli induk duluan aeperti postingan ini 

Kayaknya menarik ya
Ini adalah foto",FREN,8:56:39 PM,Wednesday April 14 2021
