,Data,User,Pesan,Saham,Jam,Tanggal
0,1,D,"Salah satu kelebihan bursa saham US yg tidak bisa ditandingi oleh bursa saham manapun apalagi BEI adalah berlimpahnya perusahaan2 teknologi kualitas papan atas, ga sulit untuk mencari saham bagus disini, malah kita yg akan kebingungan karena terlalu banyak pilihan saham yg bagus.  

Bagi kamu yg mau mulai invest & trading di saham US (Tesla, Google, Amazon, Apple, Starbuck, Nike, dll) bisa pakai Gotrade dan masukan invite token ""210798"" saat daftar, karena untuk daftar di Gotrade harus ada orang yg ngasih kamu invite token dulu, kalo engga kamu ga bisa daftar atau proses pendaftarannya bakal lama banget. Kamu juga bisa bagikan invite token tersebut ke temenmu yg lainnya yaa.  
Ini adalah foto",SATU,11:46:40 PM,Wednesday April 28 2021
1,2,ZhaoMin81,"Membalas : Nickelnya juga
Pantas td sesi 2 ANTM :rocket:",ANTM,10:30:32 PM,Wednesday April 28 2021
2,3,Harry Wijaya,"Pyfa
Ini adalah foto
",PYFA,9:59:13 PM,Wednesday April 28 2021
3,4,Dennis Ritchie,"besuk si yudha SBAT jadi BOSS sehari.
crispyy banget    ","BOSS,SBAT",9:47:36 PM,Wednesday April 28 2021
4,5,Jose - Aliran - YPC,"Membalas : ini istrinya di sini juga, memantau suaminya biar gak nakal.
  lho si Om Bandar udah nikah to?  ",SINI,9:41:20 PM,Wednesday April 28 2021
5,6,Dika B,"Membalas : Deviden bbri kpn ya cair ny suhu
Sy sdh pa hr ni",BBRI,9:40:35 PM,Wednesday April 28 2021
6,7,Hanip Ahmad,Deviden bbri kpn ya cair ny suhu,BBRI,9:39:46 PM,Wednesday April 28 2021
7,8,hery,"Membalas : nah ini si om bandar besar muncul, specialis gorengan dan temennya MG alias MarGaretha Film dan Ikan aman Om?
ini istrinya di sini juga, memantau suaminya biar gak nakal.","AMAN,FILM,IKAN,SINI",9:38:25 PM,Wednesday April 28 2021
8,9,Jose - Aliran - YPC,"Membalas : Iya pagi2 makan mevvah, sore2 nikmatin sunset di W hotel, emang mevvah ini pak carik @luckv02 , bagi2 insightnya donk huu....
nah ini si om bandar besar muncul, specialis gorengan dan temennya MG alias MarGaretha   Film dan Ikan aman Om?","AMAN,FILM,IKAN",9:25:13 PM,Wednesday April 28 2021
9,10,Aan10,"Shopee the next GOTO nih, shoppe food, shoppe marketplace, shopee pay. Moga2 bank bener2 diinvest shopee  ","BANK,FOOD",9:14:42 PM,Wednesday April 28 2021
10,11,Fajar Oktavaria,"ada di link, jika tidak sesuai coba hubungi cs bionsnya https://caricuan.id/right-issue/
Ini adalah foto",LINK,9:03:35 PM,Wednesday April 28 2021
11,12,Yu. Ni,"Membalas : Photo
Waw sophee ya ....next arto nih kalo bener  ",ARTO,9:02:25 PM,Wednesday April 28 2021
12,13,Hendro Masori,Maksudnya saya cuma mau cari reversal trus out. Gak mau serakah2... Ya di atas 5% ambil lah,TRUS,8:02:15 PM,Wednesday April 28 2021
13,14,Mr. Zen,"Cent cakep ni diskon""",CENT,7:51:58 PM,Wednesday April 28 2021
14,15,Hendro Masori,"Membalas : cakep juga CENT,,, Itu resisten become support pak de ?
Iya. Kalau jebol ya buyar
Hahahaha",CENT,7:49:07 PM,Wednesday April 28 2021
15,16,Achilles JoKer,"Membalas : Photo
cakep juga CENT,,, Itu resisten become support pak de ?",CENT,7:46:19 PM,Wednesday April 28 2021
16,17,Willy N,"Mau tanya, bbri bagi dividen pembayarannya hari ini ya? Kok saya blm terima ya  ",BBRI,7:44:24 PM,Wednesday April 28 2021
17,18,Bagus Musicallo,"Update CENT
Ini adalah foto",CENT,7:38:30 PM,Wednesday April 28 2021
18,19,Erich,ath dan bagger is future pak tepatnya...  koin pas anjlok bertaon2 lalu jg banyak yg pasrah itu,KOIN,7:28:24 PM,Wednesday April 28 2021
19,20,Felix :libra:,"Membalas : Kalau ada trading pake daun wd pake uang info2 ya pak
Akakakakak :de:",UANG,7:10:09 PM,Wednesday April 28 2021
20,21,Lee Khong Huan,"Membalas : Biasanya malah sebaliknya, IHSG kan sering bikin anomali, jd mesti pake logika yg ""out of the box"". Efek cuan dari Fren - R dim
Tp bandar juga tahu klo orang  akan berpikir ""out of the box"" begitu, jadilah dibuat skenario ""yg seharusnya""   ",FREN,7:10:08 PM,Wednesday April 28 2021
21,22,Charles Prop,"Membalas : Ada yg bilang pak trading pake uang
Kalau ada trading pake daun wd pake uang info2 ya pak",UANG,7:09:36 PM,Wednesday April 28 2021
22,23,panjianom,"Membalas : Biasanya malah sebaliknya, IHSG kan sering bikin anomali, jd mesti pake logika yg ""out of the box"". Efek cuan dari Fren - R dim
mungkin bandarnya ada di TT    ",FREN,7:09:24 PM,Wednesday April 28 2021
23,24,Yosua,Wiim downtrend kah,WIIM,7:07:42 PM,Wednesday April 28 2021
24,25,Jose - Aliran - YPC,"Membalas : Akankah besok ARB?
Biasanya malah sebaliknya, IHSG kan sering bikin anomali, jd mesti pake logika yg ""out of the box"".

Efek cuan dari Fren - R dimana ritel pada takut beli induknya + nyangkut di wiim & ssms yg LKnya ajaib, membuat saya terpikir kalo bandarnya IHSG ini cukup jago mempermainkan analisa & logika ritel kecil  ","FREN,SSMS,WIIM",7:07:42 PM,Wednesday April 28 2021
25,26,Felix :libra:,"Membalas : Makanya tak bilang kmarin kalau trading jgn pake funda. Mumet bisa
Ada yg bilang pak trading pake uang",UANG,7:06:36 PM,Wednesday April 28 2021
26,27,Aho Lie,"Membalas : Good  , emang itu yg betul tapi nanti ada yg kebakaran jenggot
Drpd kebakaran porto  ",GOOD,7:06:10 PM,Wednesday April 28 2021
27,28,panjianom,"Membalas : Makanya tak bilang kmarin kalau trading jgn pake funda. Mumet bisa
Good  , emang itu yg betul tapi nanti ada yg kebakaran jenggot  ",GOOD,7:04:44 PM,Wednesday April 28 2021
28,29,Charles Prop,"Membalas : Bank mulai menunjukkan kinerja yg bagus, rata2 naik laba nya d Q1
Sayang sahamnya tertekan terus",BANK,7:02:35 PM,Wednesday April 28 2021
29,30,Frendi cari-ara,"Membalas : Photo
Amin Pakde",AMIN,6:18:13 PM,Wednesday April 28 2021
