,Data,User,Pesan,Saham,Jam,Tanggal
0,1,Nana Paramita,"Membalas : 2022 awal
Amin  ",AMIN,12:05:47 AM,Saturday April 17 2021
1,2,Nana Paramita,"Membalas : Nah setuju, saya tunggu lancongnya ke Bali lagi      last time ga bisa ikutan karena sibuk kerja sayangnya
Ikuuuttt    ",BALI,12:03:12 AM,Saturday April 17 2021
2,3,David Noah,"Membalas : Halo koh, gimna kabarnya?  Real tiktok kah 
Masa boongan hahaha, saya numpang belajar sama suhu  disini ya  ","MASA,REAL",11:38:35 PM,Wednesday April 14 2021
3,4,Kaanz',"Halo koh, gimna kabarnya? 
Real tiktok kah ",REAL,11:38:12 PM,Wednesday April 14 2021
4,5,Jutha Bram,"Membalas : Yuk Juni
Siap Pak De...
Semoga dikasi kesehatan dan umur panjang, kita kopdar2 silaturahmi nambah saudara di dunia real ",REAL,11:12:08 PM,Wednesday April 14 2021
5,6,Jutha Bram,"Membalas : Nah setuju, saya tunggu lancongnya ke Bali lagi      last time ga bisa ikutan karena sibuk kerja sayangnya
Saya tunggu vaksin Ci...
Msh blm dpt giliran.

Kl sdh vaksin, setidaknya agak tenang bepergian...",BALI,11:08:36 PM,Wednesday April 14 2021
6,7,Rui :rocket: :speedboat::dancer: ,"Nah setuju, saya tunggu lancongnya ke Bali lagi      last time ga bisa ikutan karena sibuk kerja sayangnya   ",BALI,11:07:02 PM,Wednesday April 14 2021
7,8,hery,"Membalas : Modus  
kalau modus, msg nya pm dong  
Membalas : haha.. mmg cara menangani makhluk halus itu beda y Pak   Ci @RuiAuxilia aja lgs agree ntar kalo ngobrol offline di Bali,
nanti boleh pakai tiup. gak boleh makan pete dan jengkol sebelumnya.
",BALI,10:58:34 PM,Wednesday April 14 2021
8,9,Rays_Man,"haha..
mmg cara menangani makhluk halus itu beda y Pak   

Ci @RuiAuxilia aja lgs agree   

ntar kalo ngobrol offline di Bali, ikutan ah.. 
kalo lewat perbatasan sdh tdk di cusss  ",BALI,10:58:26 PM,Wednesday April 14 2021
9,10,hery,"Membalas : oiya, apakah tdk ada yg mantau SRTG? ada news kalo mau buyback juga dan mau SS.. kayaknya menarik.. *disclaimer on
bid offer nya masih halus pak  
Membalas : Hospitality Professional Pak Carik ini .... sopan tapi mengena   
ah, malu saya. kapan2 kita ngobrol offline yah  ",SRTG,10:54:27 PM,Wednesday April 14 2021
10,11,krm nugraha,"Membalas : Ini indodax kok error y, hadeuh dasar kamfret! ada yg masih pk indodax ap udh pada kabur ke binance?
d sini idx bukan indodax  ",SINI,10:29:44 PM,Wednesday April 14 2021
11,12,Rays_Man,"aku msh ingat PakDhe HM pernah bilang kalo ada temannya yg spesialis masuk hanya pd emiten yg akan CA.. karena katalis nya pasti kuat.. 
naah.. sependek pengetahuan saya, pengamatan saya.. lebih aman utk newbie kayak saya ikut metode ini,drpd FOMO ikutan emiten yg naiknya hanya based on news geje.. 
karena probabilitas nya geje juga.. tp kalo sdh levelnya CA.. 
lebih aman sih menurutku.. 

dan saya mulai berlatih disiplin agar bisa trading juga investing.. 
alokasi dana utk trading nggak boleh melebihi dr jatah,
begitu juga utk yg investasi.. karena sesuai 7an awal saya masuk bursa saham.. 
bisa jd ini benar atau salah menurut orang lain.. 
tp saya mau mencobanya cara saya ini dulu.. kalo salah y tinggal koreksi..   
dan di grup ini dan grup IAI adalah 2 grup yg saya sukai..
makasih banyak semuanya..
semoga sukses selalu  ","AGAR,AMAN",10:29:37 PM,Wednesday April 14 2021
12,13,Eviros,"Membalas : oiya, apakah tdk ada yg mantau SRTG? ada news kalo mau buyback juga dan mau SS.. kayaknya menarik.. *disclaimer on
Menarik tpi lotnya rebutan",SRTG,10:24:14 PM,Wednesday April 14 2021
13,14,Rays_Man,"oiya, apakah tdk ada yg mantau SRTG? 
ada news kalo mau buyback juga dan mau SS.. 
kayaknya menarik..
*disclaimer on",SRTG,10:23:11 PM,Wednesday April 14 2021
